tournament,winner,partidos_ganados
Campeonato 1931 ,Estudiantes (LP),24
Campeonato 1932 ,Racing Club,27
Campeonato 1933 ,Racing Club,26
Campeonato 1934 ,Boca Juniors,27
Campeonato 1935 ,Boca Juniors,31
Campeonato 1936 ,River Plate,16
Campeonato 1937 ,River Plate,30
Campeonato 1938 ,Independiente,27
Campeonato 1939 ,Independiente,25
Campeonato 1940 ,Boca Juniors,28
Campeonato 1941 ,River Plate,21
Campeonato 1942 ,River Plate,24
Campeonato 1943 ,Boca Juniors,26
Campeonato 1944 ,River Plate,24
Campeonato 1945 ,River Plate,23
Campeonato 1946 ,San Lorenzo,23
Campeonato 1947 ,River Plate,24
Campeonato 1948 ,Independiente,20
Campeonato 1949 ,Racing Club,26
Campeonato 1950 ,Independiente,24
Campeonato 1951 ,Racing Club,25
Campeonato 1952 ,Racing Club,22
Campeonato 1953 ,River Plate,21
Campeonato 1954 ,Boca Juniors,23
Campeonato 1955 ,River Plate,25
Campeonato 1956 ,Boca Juniors,23
Campeonato 1957 ,River Plate,25
Campeonato 1958 ,Racing Club,24
Campeonato 1959 ,San Lorenzo,23
Campeonato 1960 ,Independiente,22
Campeonato 1961 ,Racing Club,26
Campeonato 1962 ,Boca Juniors,23
Campeonato 1963 ,Independiente,19
Campeonato 1964 ,Boca Juniors,24
Campeonato 1965 ,Boca Juniors,26
Campeonato 1966 ,Racing Club,32
Campeonato 1985/86  ,Newells,30
Campeonato 1986/87  ,Boca Juniors,29
Campeonato 1987/88 ,Newells,30
Campeonato 1988/89 ,River Plate,35
Campeonato 1989/90 ,Boca Juniors,30
Campeonato 1990/91 ,Newells,15
Campeonato 2015 ,Racing Club,26
Campeonato 2016/17 ,Boca Juniors,25
Copa de Honor 1936 ,Huracan,14
Liga 2021 ,Newells,4
Metropolitano 1967 ,Estudiantes (LP),17
Metropolitano 1968 ,Atlanta,22
Metropolitano 1969 ,Gimnasia (LP),25
Metropolitano 1970 ,Huracan,17
Metropolitano 1971 ,Velez,27
Metropolitano 1972 ,San Lorenzo,26
Metropolitano 1973 ,Huracan,23
Metropolitano 1974 ,Boca Juniors,15
Metropolitano 1975 ,River Plate,29
Metropolitano 1976 ,Huracan,28
Metropolitano 1977 ,Independiente,31
Metropolitano 1978 ,Union,29
Metropolitano 1979 ,River Plate,15
Metropolitano 1980 ,River Plate,27
Metropolitano 1981 ,Boca Juniors,25
Metropolitano 1982 ,Estudiantes (LP),28
Metropolitano 1983 ,Independiente,25
Metropolitano 1984 ,Argentinos,27
Nacional 1967 ,Estudiantes (LP),14
Nacional 1968 ,Banfield,13
Nacional 1969 ,River Plate,17
Nacional 1970 ,Rosario Central,17
Nacional 1971 ,Independiente,14
Nacional 1972 ,Boca Juniors,11
Nacional 1973 ,Rosario Central,16
Nacional 1974 ,Rosario Central,21
Nacional 1975 ,River Plate,20
Nacional 1976 ,Talleres (C),17
Nacional 1977 ,Independiente,13
Nacional 1978 ,Independiente,17
Nacional 1979 ,Velez,15
Nacional 1980 ,Newells,13
Nacional 1981 ,Ferro,15
Superfinal 2013 ,Velez,1
Superliga 2017/18 ,Boca Juniors,22
Superliga 2018/19 ,Boca Juniors,20
Superliga 2019/20 ,River Plate,17
Torneo 2016 ,Lanus,15
Torneo Apertura 1991 ,River Plate,17
Torneo Apertura 1992 ,Boca Juniors,14
Torneo Apertura 1993 ,Racing Club,13
Torneo Apertura 1994 ,River Plate,15
Torneo Apertura 1995 ,Velez,15
Torneo Apertura 1996 ,River Plate,15
Torneo Apertura 1997 ,River Plate,17
Torneo Apertura 1998 ,Boca Juniors,17
Torneo Apertura 1999 ,River Plate,16
Torneo Apertura 2000 ,Boca Juniors,14
Torneo Apertura 2001 ,Racing Club,16
Torneo Apertura 2002 ,Boca Juniors,15
Torneo Apertura 2003 ,Boca Juniors,12
Torneo Apertura 2004 ,Newells,13
Torneo Apertura 2005 ,Boca Juniors,15
Torneo Apertura 2006 ,Estudiantes (LP),16
Torneo Apertura 2007 ,Lanus,14
Torneo Apertura 2008 ,Tigre,16
Torneo Apertura 2009 ,Banfield,16
Torneo Apertura 2010 ,Estudiantes (LP),17
Torneo Apertura 2011 ,Boca Juniors,16
Torneo Clausura 1991 ,Boca Juniors,21
Torneo Clausura 1992 ,Dep. Español,17
Torneo Clausura 1993 ,Velez,14
Torneo Clausura 1994 ,Independiente,15
Torneo Clausura 1995 ,Gimnasia (LP),15
Torneo Clausura 1996 ,Velez,17
Torneo Clausura 1997 ,Colon,15
Torneo Clausura 1998 ,Lanus,16
Torneo Clausura 1999 ,Boca Juniors,16
Torneo Clausura 2000 ,Colon,14
Torneo Clausura 2001 ,San Lorenzo,16
Torneo Clausura 2002 ,Gimnasia (LP),14
Torneo Clausura 2003 ,River Plate,16
Torneo Clausura 2004 ,River Plate,13
Torneo Clausura 2005 ,Velez,15
Torneo Clausura 2006 ,Boca Juniors,16
Torneo Clausura 2007 ,San Lorenzo,16
Torneo Clausura 2008 ,River Plate,16
Torneo Clausura 2009 ,Velez,15
Torneo Clausura 2010 ,Argentinos,14
Torneo Clausura 2011 ,Velez,15
Torneo Clausura 2012 ,Tigre,14
Torneo Final 2013 ,Newells,14
Torneo Final 2014 ,River Plate,15
Torneo Inicial 2012 ,Newells,16
Torneo Inicial 2013 ,Belgrano,13
Torneo Nacional 1982 ,Ferro,18
Torneo Nacional 1983 ,Argentinos,14
Torneo Nacional 1984 ,Ferro,10
Torneo Nacional 1985  ,Argentinos,11
Torneo de Transicion 2014 ,River Plate,15
